id,state,awarded_at,defer_date,withdraw_date
80564,withdrawn,,,20/09/2022
79886,withdrawn,,,20/09/2022
79919,withdrawn,,,26/11/2021
79864,withdrawn,,,14/01/2022
81163,withdrawn,,,26/08/2022
79883,withdrawn,,,12/05/2022
104154,withdrawn,,,29/07/2022
79434,withdrawn,,,13/07/2022
81046,withdrawn,,,30/08/2022
79756,withdrawn,,,12/10/2022
80531,withdrawn,,,12/10/2022
81152,withdrawn,,,12/10/2022
81173,withdrawn,,,29/11/2021
80310,withdrawn,,,12/10/2022
80894,withdrawn,,,29/07/2022
81110,withdrawn,,,29/07/2022
80581,withdrawn,,,12/05/2022
80786,withdrawn,,,27/09/2022
81001,withdrawn,,,15/12/2021
80617,withdrawn,,,24/03/2022
80777,withdrawn,,,08/03/2022
80134,withdrawn,,,30/09/2022
79687,withdrawn,,,20/05/2022
80329,withdrawn,,,08/02/2022
79728,withdrawn,,,29/07/2022
79685,withdrawn,,,26/11/2021
80952,withdrawn,,,29/04/2022
80386,withdrawn,,,16/12/2021
80592,withdrawn,,,26/11/2021
79926,withdrawn,,,18/08/2022
79935,withdrawn,,,15/12/2021
80335,withdrawn,,,27/09/2022
79659,withdrawn,,,26/11/2021
80826,withdrawn,,,10/05/2022
80572,withdrawn,,,18/01/2022
68609,withdrawn,,,31/01/2022
79679,withdrawn,,,26/11/2021
68385,withdrawn,,,13/06/2022
80551,withdrawn,,,26/11/2021
80568,withdrawn,,,29/11/2021
68497,withdrawn,,,31/01/2022
79660,withdrawn,,,22/04/2022
79858,withdrawn,,,20/05/2022
80369,withdrawn,,,26/11/2021
80481,withdrawn,,,30/08/2022
79891,withdrawn,,,06/06/2022
68700,withdrawn,,,31/01/2022
67251,withdrawn,,,04/08/2022
67396,withdrawn,,,23/08/2022
67449,withdrawn,,,21/07/2022
67654,withdrawn,,,19/07/2022
67253,withdrawn,,,23/08/2022
67308,withdrawn,,,19/07/2022
67302,withdrawn,,,04/08/2022
67495,withdrawn,,,19/07/2022
135926,withdrawn,,,19/07/2022
67274,withdrawn,,,04/08/2022
67566,withdrawn,,,19/07/2022
68052,withdrawn,,,22/07/2022
69643,withdrawn,,,23/08/2022
69556,withdrawn,,,23/08/2022
69827,withdrawn,,,03/08/2022
69668,withdrawn,,,23/08/2022
69943,withdrawn,,,07/09/2022
69981,withdrawn,,,04/10/2022
70035,withdrawn,,,03/08/2022
69936,withdrawn,,,03/08/2022
69632,withdrawn,,,23/08/2022
69412,withdrawn,,,23/08/2022
67983,withdrawn,,,22/07/2022
69715,withdrawn,,,23/08/2022
68169,withdrawn,,,09/06/2022
67761,withdrawn,,,04/04/2022
67802,withdrawn,,,13/07/2022
68300,withdrawn,,,22/07/2022
68065,withdrawn,,,09/06/2022
67934,withdrawn,,,18/07/2022
68153,withdrawn,,,09/06/2022
68257,withdrawn,,,22/07/2022
69551,withdrawn,,,23/08/2022
66852,withdrawn,,,28/07/2022
67049,withdrawn,,,28/07/2022
67005,withdrawn,,,21/07/2022
73362,withdrawn,,,03/08/2022
66984,withdrawn,,,21/07/2022
73753,withdrawn,,,03/08/2022
73377,withdrawn,,,03/08/2022
85802,withdrawn,,,03/08/2022
85554,withdrawn,,,03/08/2022
70115,withdrawn,,,30/05/2022
71368,withdrawn,,,12/08/2022
71481,withdrawn,,,01/09/2022
71314,withdrawn,,,12/08/2022
71333,withdrawn,,,12/08/2022
71479,withdrawn,,,12/08/2022
71547,withdrawn,,,12/08/2022
70416,withdrawn,,,20/07/2022
70626,withdrawn,,,20/07/2022
70930,withdrawn,,,20/07/2022
92240,withdrawn,,,25/02/2022
107763,withdrawn,,,25/02/2022
71595,withdrawn,,,12/08/2022
71629,withdrawn,,,12/08/2022
82845,withdrawn,,,06/08/2022
81564,withdrawn,,,06/08/2022
82563,withdrawn,,,06/08/2022
71868,withdrawn,,,06/08/2022
71728,withdrawn,,,06/08/2022
82720,withdrawn,,,06/08/2022
82097,withdrawn,,,06/08/2022
144150,withdrawn,,,06/08/2022
82328,withdrawn,,,06/08/2022
107766,withdrawn,,,23/08/2022
102202,withdrawn,,,14/07/2022
37634,withdrawn,,,23/07/2022
37496,withdrawn,,,23/07/2022
37557,withdrawn,,,23/07/2022
37431,withdrawn,,,23/07/2022
37819,withdrawn,,,23/07/2022
37562,withdrawn,,,23/07/2022
37498,withdrawn,,,23/07/2022
37899,withdrawn,,,23/07/2022
37546,withdrawn,,,23/07/2022
37896,withdrawn,,,23/07/2022
37702,withdrawn,,,23/07/2022
37674,withdrawn,,,23/07/2022
37435,withdrawn,,,23/07/2022
37409,withdrawn,,,23/07/2022
82476,withdrawn,,,28/06/2022
82733,withdrawn,,,23/09/2022
82542,withdrawn,,,12/07/2022
81719,withdrawn,,,30/08/2022
82208,withdrawn,,,14/10/2022
82643,withdrawn,,,16/07/2022
148229,withdrawn,,,16/07/2022
109179,withdrawn,,,10/09/2022
109196,withdrawn,,,20/10/2022
109023,withdrawn,,,14/09/2022
108890,withdrawn,,,10/09/2022
109290,withdrawn,,,07/07/2022
109311,withdrawn,,,20/08/2022
14495,withdrawn,,,09/06/2022
14507,withdrawn,,,05/10/2022
14468,withdrawn,,,05/04/2022
14467,withdrawn,,,13/06/2022
14430,withdrawn,,,22/04/2022
116285,withdrawn,,,23/08/2022
68021,withdrawn,,,09/06/2022
67285,withdrawn,,,19/07/2022
68589,withdrawn,,,11/03/2022
70188,withdrawn,,,30/05/2022
83587,withdrawn,,,29/03/2022
71584,withdrawn,,,12/08/2022
75453,withdrawn,,,13/07/2022
69520,withdrawn,,,23/08/2022
68790,withdrawn,,,01/08/2022
74954,withdrawn,,,13/07/2022
83504,withdrawn,,,07/07/2022
75027,withdrawn,,,13/07/2022
