"Field","Code","Label"
"DEGEST","1043","The Sheffield College"
"DEGEST","1044","Southampton City College"
"DEGEST","1045","South Gloucestershire and Stroud College"
"DEGEST","1046","South Essex College of Further and Higher Education"
"DEGEST","1047","Selby College"
"DEGEST","1048","Unified Seevic Palmer's College"
"DEGEST","1049","South Devon College"
"DEGEST","1050","South & City College Birmingham"
"DEGEST","1051","Sandwell College"
"DEGEST","1052","Salford City College"
"DEGEST","1053","Ruskin College"
"DEGEST","1054","Runshaw College"
"DEGEST","1055","RNN Group"
"DEGEST","1056","Riverside College Halton"
"DEGEST","1057","Richard Huish College"
"DEGEST","1058","Richmond upon Thames College"
"DEGEST","1059","Reaseheath College"
"DEGEST","1060","Petroc"
"DEGEST","1061","Inspire Education Group"
"DEGEST","1062","Preston College"
"DEGEST","1063","City College Plymouth"
"DEGEST","1064","Plumpton College"
"DEGEST","1065","Peter Symonds College"
"DEGEST","1066","Truro and Penwith College"
"DEGEST","1067","The Oldham College"
"DEGEST","1068","Oaklands College"
"DEGEST","1069","New College Swindon"
"DEGEST","1070","New College Pontefract"
"DEGEST","1071","Nottingham College"
"DEGEST","1072","City College Norwich"
"DEGEST","1073","The Northern School of Art"
"DEGEST","1074","Northampton College"
"DEGEST","1075","North Kent College"
"DEGEST","1076","North Hertfordshire College"
"DEGEST","1077","Newham College of Further Education"
"DEGEST","1078","NCG"
"DEGEST","1079","Newbury College"
"DEGEST","1080","North East Surrey College of Technology (NESCOT)"
"DEGEST","1081","New City College"
"DEGEST","1082","New College Durham"
"DEGEST","1083","Nelson and Colne College"
"DEGEST","1084","Myerscough College"
"DEGEST","1085","Moulton College"
"DEGEST","1086","Lancaster and Morecambe College"
"DEGEST","1087","Mid-Kent College"
"DEGEST","1088","Milton Keynes College"
"DEGEST","1089","Macclesfield College"
"DEGEST","1090","LTE Group"
"DEGEST","1091","Loughborough College"
"DEGEST","1092","Lincoln College"
"DEGEST","1093","Wigan and Leigh College"
"DEGEST","1094","Leicester College"
"DEGEST","1095","Leeds College of Building"
"DEGEST","1096","Leeds City College"
"DEGEST","1097","Lakes College West Cumbria"
"DEGEST","1098","Kirklees College"
"DEGEST","1099","Kingston Maurward College"
"DEGEST","1100","Kendal College"
"DEGEST","1101","Hull College"
"DEGEST","1102","Hugh Baird College"
"DEGEST","1103","Highbury College Portsmouth"
"DEGEST","1104","Hopwood Hall College"
"DEGEST","1105","Holy Cross College"
"DEGEST","1106","Richmond and Hillcroft Adult and Community College"
"DEGEST","1107","Hertford Regional College"
"DEGEST","1108","Hereford College of Arts"
"DEGEST","1109","Herefordshire, Ludlow and North Shropshire College"
"DEGEST","1110","HCUC"
"DEGEST","1111","Havering College of Further and Higher Education"
"DEGEST","1112","Havant and South Downs College"
"DEGEST","1113","Hartpury College"
"DEGEST","1114","Harlow College"
"DEGEST","1115","Ealing, Hammersmith & West London College"
"DEGEST","1116","Halesowen College"
"DEGEST","1117","Hadlow College"
"DEGEST","1118","Guildford College of Further and Higher Education"
"DEGEST","1119","TEC Partnership"
"DEGEST","1120","Grantham College"
"DEGEST","1121","Gloucestershire College"
"DEGEST","1122","Gateshead College"
"DEGEST","1123","Furness College"
"DEGEST","1124","Farnborough College of Technology"
"DEGEST","1125","Fareham College"
"DEGEST","1126","Exeter College"
"DEGEST","1127","East Sussex College Group"
"DEGEST","1128","East Surrey College"
"DEGEST","1129","East Riding College"
"DEGEST","1130","Eastleigh College"
"DEGEST","1131","King Edward VI College Nuneaton"
"DEGEST","1132","Dudley College of Technology"
"DEGEST","1133","DN Colleges Group"
"DEGEST","1134","DCG"
"DEGEST","1135","Croydon College"
"DEGEST","1136","Cornwall College"
"DEGEST","1137","Craven College"
"DEGEST","1138","Coventry College"
"DEGEST","1139","The City of Liverpool College"
"DEGEST","1140","Colchester Institute"
"DEGEST","1141","Cirencester College"
"DEGEST","1142","Cheshire College South and West"
"DEGEST","1143","Chichester College Group"
"DEGEST","1144","Chesterfield College"
"DEGEST","1145","Kensington and Chelsea College"
"DEGEST","1146","Central Bedfordshire College"
"DEGEST","1147","Cardinal Newman Catholic Sixth Form College"
"DEGEST","1148","Canterbury College"
"DEGEST","1149","Cambridge Regional College"
"DEGEST","1150","Calderdale College"
"DEGEST","1151","Bury College"
"DEGEST","1152","Burnley College"
"DEGEST","1153","Burton and South Derbyshire College"
"DEGEST","1154","BMC (Brooksby Melton College)"
"DEGEST","1155","Bromley College of Further and Higher Education"
"DEGEST","1156","Brooklands College"
"DEGEST","1157","Brockenhurst College"
"DEGEST","1158","Bridgwater and Taunton College"
"DEGEST","1159","City of Bristol College"
"DEGEST","1160","Greater Brighton Metropolitan College"
"DEGEST","1161","Bradford College"
"DEGEST","1162","The Bournemouth and Poole College"
"DEGEST","1163","Boston College"
"DEGEST","1164","Bolton College"
"DEGEST","1165","Blackpool and the Fylde College"
"DEGEST","1166","Blackburn College"
"DEGEST","1167","Bishop Burton College"
"DEGEST","1168","Bishop Auckland College"
"DEGEST","1169","Birmingham Metropolitan College"
"DEGEST","1170","The Berkshire College of Agriculture (BCA)"
"DEGEST","1171","Bedford College"
"DEGEST","1172","Bath College"
"DEGEST","1173","Basingstoke College of Technology"
